"Labour Force Status by Sex: Seasonally Adjusted (Qrtly-Mar/Jun/Sep/Dec)","","",""
"","Male","Female","Total Both Sexes"
" ","Unemployment Rate","Unemployment Rate","Unemployment Rate"
"2004Q3",3.5,4.3,3.9
"2004Q4",3.4,4.2,3.7
"2005Q1",3.7,4.1,3.9
"2005Q2",3.8,3.9,3.8
"2005Q3",3.4,4.3,3.8
"2005Q4",3.2,4.4,3.7
"2006Q1",3.8,4.4,4.1
"2006Q2",3.3,4.1,3.7
"2006Q3",3.6,4.2,3.9
"2006Q4",3.5,4.1,3.8
"2007Q1",3.6,4.2,3.9
"2007Q2",3.3,4.0,3.6
"2007Q3",3.2,3.9,3.6
"2007Q4",3.3,3.4,3.4
"2008Q1",3.6,4.0,3.8
"2008Q2",3.8,3.8,3.8
"2008Q3",4.1,4.0,4.1
"2008Q4",4.3,4.6,4.4
"2009Q1",5.1,4.9,5.0
"2009Q2",5.6,6.0,5.8
"2009Q3",6.3,6.0,6.2
"2009Q4",6.6,6.5,6.6
"2010Q1",5.6,6.3,5.9
"2010Q2",6.7,6.5,6.6
"2010Q3",5.6,6.6,6.1
"2010Q4",6.0,6.5,6.2
"2011Q1",5.7,6.4,6.0
"2011Q2",6.0,6.1,6.1
"2011Q3",5.6,6.3,6.0
"2011Q4",6.1,6.0,6.1
"2012Q1",6.1,6.7,6.4
"2012Q2",6.2,6.7,6.4
"2012Q3",6.6,6.9,6.7
"2012Q4",6.0,6.7,6.3
"2013Q1",5.2,6.5,5.8
"2013Q2",5.5,6.5,6.0
"2013Q3",5.5,6.2,5.8
"2013Q4",5.0,6.4,5.7
"2014Q1",5.1,6.1,5.6
"2014Q2",4.6,6.0,5.3
"2014Q3",4.6,6.1,5.3
"2014Q4",4.8,6.3,5.5
"2015Q1",5.2,5.9,5.5
"2015Q2",4.8,6.3,5.5
"2015Q3",5.2,6.1,5.7
"2015Q4",4.7,5.3,5.0
"2016Q1",5.0,5.6,5.3
"2016Q2",4.7,5.5,5.1
"2016Q3",4.7,5.3,5.0
"2016Q4",4.8,5.8,5.3
"2017Q1",4.3,5.6,4.9
"2017Q2",4.8,5.0,4.9
"2017Q3",4.1,5.4,4.7
"2017Q4",4.0,5.0,4.5
"2018Q1",3.9,4.8,4.4
"2018Q2",4.4,4.9,4.6
"2018Q3",4.0,4.0,4.0
"2018Q4",4.4,4.2,4.3
"2019Q1",3.8,4.5,4.2
"2019Q2",3.7,4.4,4.1
"2019Q3",3.8,4.4,4.1
"2019Q4",3.9,4.3,4.1
"2020Q1",4.0,4.4,4.2
"2020Q2",3.6,4.6,4.1
"2020Q3",4.8,5.6,5.2
"2020Q4",4.5,5.4,4.9
"2021Q1",4.6,4.7,4.6
"2021Q2",3.8,4.2,4.0
"2021Q3",3.3,3.3,3.3
"2021Q4",3.0,3.4,3.2
"2022Q1",3.1,3.4,3.2
"2022Q2",3.1,3.6,3.3
"2022Q3",2.9,3.7,3.3
"2022Q4",3.3,3.5,3.4
"2023Q1",3.2,3.6,3.4
"2023Q2",3.4,3.9,3.6
"2023Q3",3.7,4.1,3.9
"2023Q4",3.7,4.3,4.0
"2024Q1",4.0,4.8,4.3
"Table information:"
"Units:"
"Unemployment Rate: Percent, Magnitude = Units"
""
"Footnotes:"
"All previously published figures are subject to revision when the seasonal adjustment program is run each quarter."
"Labour force participation rate is the total labour force expressed as a percentage of the working-age population."
" "
"Symbols:"
".. figure not available"
"C: Confidential"
"E: Early Estimate"
"P: Provisional"
"R: Revised"
"S: Suppressed"
""
"Status flags are not displayed"
""
"Table reference: "
"HLF097AA"
""
"Last updated:"
"Unemployment Rate: 01 May 2024 10:45am"
""
"Source: Statistics New Zealand"
"Contact: Information Centre"
"Telephone: 0508 525 525"
"Email:info@stats.govt.nz"
""
""
""
